step,time,z_num,vz_num,z_exact,vz_exact,error_z
187,1.8700000000e-01,4.8257155400e+00,-1.8442800000e+00,4.8284770550e+00,-1.8344700000e+00,2.7615150000e-03
188,1.8800000000e-01,4.8238614500e+00,-1.8540900000e+00,4.8266376800e+00,-1.8442800000e+00,2.7762300000e-03
189,1.8900000000e-01,4.8219975500e+00,-1.8639000000e+00,4.8247884950e+00,-1.8540900000e+00,2.7909450000e-03
190,1.9000000000e-01,4.8201238400e+00,-1.8737100000e+00,4.8229295000e+00,-1.8639000000e+00,2.8056600000e-03
191,1.9100000000e-01,4.8182403200e+00,-1.8835200000e+00,4.8210606950e+00,-1.8737100000e+00,2.8203750000e-03
192,1.9200000000e-01,4.8163469900e+00,-1.8933300000e+00,4.8191820800e+00,-1.8835200000e+00,2.8350900000e-03
193,1.9300000000e-01,4.8144438500e+00,-1.9031400000e+00,4.8172936550e+00,-1.8933300000e+00,2.8498050000e-03
194,1.9400000000e-01,4.8125309000e+00,-1.9129500000e+00,4.8153954200e+00,-1.9031400000e+00,2.8645200000e-03
195,1.9500000000e-01,4.8106081400e+00,-1.9227600000e+00,4.8134873750e+00,-1.9129500000e+00,2.8792350000e-03
196,1.9600000000e-01,4.8086755700e+00,-1.9325700000e+00,4.8115695200e+00,-1.9227600000e+00,2.8939500000e-03
197,1.9700000000e-01,4.8067331900e+00,-1.9423800000e+00,4.8096418550e+00,-1.9325700000e+00,2.9086650000e-03
198,1.9800000000e-01,4.8047810000e+00,-1.9521900000e+00,4.8077043800e+00,-1.9423800000e+00,2.9233800000e-03
199,1.9900000000e-01,4.8028190000e+00,-1.9620000000e+00,4.8057570950e+00,-1.9521900000e+00,2.9380950000e-03
200,2.0000000000e-01,4.8008471900e+00,-1.9718100000e+00,4.8038000000e+00,-1.9620000000e+00,2.9528100000e-03
201,2.0100000000e-01,4.7988655700e+00,-1.9816200000e+00,4.8018330950e+00,-1.9718100000e+00,2.9675250000e-03
202,2.0200000000e-01,4.7968741400e+00,-1.9914300000e+00,4.7998563800e+00,-1.9816200000e+00,2.9822400000e-03
203,2.0300000000e-01,4.7948729000e+00,-2.0012400000e+00,4.7978698550e+00,-1.9914300000e+00,2.9969550000e-03
204,2.0400000000e-01,4.7928618500e+00,-2.0110500000e+00,4.7958735200e+00,-2.0012400000e+00,3.0116700000e-03
205,2.0500000000e-01,4.7908409900e+00,-2.0208600000e+00,4.7938673750e+00,-2.0110500000e+00,3.0263850000e-03
206,2.0600000000e-01,4.7888103200e+00,-2.0306700000e+00,4.7918514200e+00,-2.0208600000e+00,3.0411000000e-03
207,2.0700000000e-01,4.7867698400e+00,-2.0404800000e+00,4.7898256550e+00,-2.0306700000e+00,3.0558150000e-03
208,2.0800000000e-01,4.7847195500e+00,-2.0502900000e+00,4.7877900800e+00,-2.0404800000e+00,3.0705300000e-03
209,2.0900000000e-01,4.7826594500e+00,-2.0601000000e+00,4.7857446950e+00,-2.0502900000e+00,3.0852450000e-03
210,2.1000000000e-01,4.7805895400e+00,-2.0699100000e+00,4.7836895000e+00,-2.0601000000e+00,3.0999600000e-03
211,2.1100000000e-01,4.7785098200e+00,-2.0797200000e+00,4.7816244950e+00,-2.0699100000e+00,3.1146750000e-03
212,2.1200000000e-01,4.7764202900e+00,-2.0895300000e+00,4.7795496800e+00,-2.0797200000e+00,3.1293900000e-03
213,2.1300000000e-01,4.7743209500e+00,-2.0993400000e+00,4.7774650550e+00,-2.0895300000e+00,3.1441050000e-03
214,2.1400000000e-01,4.7722118000e+00,-2.1091500000e+00,4.7753706200e+00,-2.0993400000e+00,3.1588200000e-03
215,2.1500000000e-01,4.7700928400e+00,-2.1189600000e+00,4.7732663750e+00,-2.1091500000e+00,3.1735350000e-03
