snap,time,x,y,z
1,5.000000e-01,1.276166e+00,2.542351e-01,6.532626e-02
1,5.000000e-01,1.901306e+00,1.675949e+00,3.035360e-01
1,5.000000e-01,7.717108e-01,7.149432e-01,6.039669e-01
1,5.000000e-01,1.815573e+00,1.745208e+00,4.899127e-02
1,5.000000e-01,7.309757e-01,1.707870e+00,4.802433e-01
1,5.000000e-01,1.388509e+00,2.343077e-01,5.909433e-02
1,5.000000e-01,9.929369e-01,1.947112e+00,4.902595e-02
1,5.000000e-01,1.880479e+00,9.382723e-01,4.902640e-02
1,5.000000e-01,1.336838e+00,9.968514e-01,1.590449e-01
1,5.000000e-01,6.412573e-01,2.725814e-01,4.260762e-01
1,5.000000e-01,9.638899e-01,1.493747e+00,6.253113e-01
1,5.000000e-01,6.868701e-02,1.450053e+00,3.562598e-01
1,5.000000e-01,1.565992e+00,3.028945e-01,4.351377e-02
1,5.000000e-01,1.443425e+00,2.234833e-01,6.642453e-01
1,5.000000e-01,1.884795e+00,8.994590e-01,4.271152e-01
1,5.000000e-01,1.653656e+00,3.432502e-01,6.062731e-01
1,5.000000e-01,1.001318e+00,1.277174e+00,5.305454e-01
1,5.000000e-01,1.448065e+00,1.210714e+00,4.888269e-02
1,5.000000e-01,7.235544e-01,2.075471e-01,9.719570e-02
1,5.000000e-01,6.277662e-01,1.732202e-01,9.491332e-02
1,5.000000e-01,2.922830e-01,1.711956e+00,6.390558e-02
1,5.000000e-01,6.012918e-01,1.233481e+00,2.739477e-02
1,5.000000e-01,5.259084e-01,1.137241e+00,4.679458e-02
1,5.000000e-01,1.072127e-01,7.971874e-01,4.902930e-02
1,5.000000e-01,1.506659e-01,1.810267e+00,4.573797e-01
1,5.000000e-01,1.938545e+00,1.051939e+00,5.358294e-02
1,5.000000e-01,5.374617e-01,7.090503e-01,2.703412e-01
1,5.000000e-01,9.987082e-02,1.682631e+00,7.042534e-02
1,5.000000e-01,1.771548e+00,3.767913e-01,6.681412e-02
1,5.000000e-01,1.273798e+00,1.031116e+00,6.126870e-02
1,5.000000e-01,6.453382e-02,1.170595e+00,6.089222e-02
1,5.000000e-01,1.221284e+00,1.953952e+00,4.901924e-02
1,5.000000e-01,4.582574e-01,3.566137e-01,2.895464e-02
1,5.000000e-01,5.605045e-01,6.226775e-01,4.899745e-02
1,5.000000e-01,9.838308e-01,6.749737e-01,6.498644e-01
1,5.000000e-01,7.298278e-01,5.898024e-01,6.945292e-02
1,5.000000e-01,1.631386e+00,1.072264e+00,4.517664e-01
1,5.000000e-01,1.882961e+00,1.113222e+00,5.561433e-01
1,5.000000e-01,7.445782e-01,3.974405e-01,4.356040e-02
1,5.000000e-01,1.768699e+00,7.238550e-01,5.464459e-02
1,5.000000e-01,7.429915e-01,1.652059e+00,6.698902e-01
1,5.000000e-01,7.969618e-01,1.514945e-01,4.902137e-02
1,5.000000e-01,5.302492e-02,6.647581e-01,8.594395e-02
1,5.000000e-01,1.344405e-01,1.595333e+00,2.477041e-01
1,5.000000e-01,6.666073e-02,3.843858e-01,4.857370e-02
1,5.000000e-01,1.092923e+00,6.669962e-02,3.930982e-02
1,5.000000e-01,7.520261e-01,1.234728e+00,4.899637e-02
1,5.000000e-01,2.479341e-01,1.139853e+00,1.972023e-01
1,5.000000e-01,9.269476e-02,1.922976e+00,5.802490e-01
1,5.000000e-01,8.328748e-01,1.782148e+00,4.926840e-02
1,5.000000e-01,1.059612e+00,6.351939e-01,4.894292e-02
1,5.000000e-01,1.012660e+00,1.380165e+00,4.900788e-02
1,5.000000e-01,1.191817e+00,1.322052e+00,8.193074e-02
1,5.000000e-01,2.508950e-01,1.436878e+00,7.337636e-02
1,5.000000e-01,1.609639e+00,1.471038e+00,9.727050e-02
1,5.000000e-01,1.551442e+00,4.988740e-01,5.885535e-02
1,5.000000e-01,8.668921e-01,1.265595e+00,4.901899e-02
1,5.000000e-01,6.825679e-01,1.540562e+00,4.576538e-02
1,5.000000e-01,9.090381e-01,1.473388e+00,3.537895e-01
1,5.000000e-01,9.899648e-01,5.656802e-01,6.341443e-02
1,5.000000e-01,1.191721e+00,1.624568e+00,4.014575e-02
1,5.000000e-01,1.907519e+00,1.853605e+00,6.030309e-01
1,5.000000e-01,4.410216e-01,1.518921e+00,1.311212e-01
1,5.000000e-01,1.188667e+00,1.254007e+00,6.493631e-01
1,5.000000e-01,5.836903e-02,1.881573e-01,2.771127e-02
1,5.000000e-01,5.181430e-02,1.295903e+00,4.969765e-02
1,5.000000e-01,9.333804e-01,4.607469e-02,4.931717e-02
1,5.000000e-01,3.658328e-01,5.639075e-01,9.130628e-02
1,5.000000e-01,1.408030e+00,1.476415e+00,4.897555e-02
1,5.000000e-01,1.039704e+00,4.158941e-01,4.954360e-02
1,5.000000e-01,1.938762e+00,1.374340e+00,5.256348e-02
1,5.000000e-01,4.180382e-01,1.488349e+00,4.843129e-02
1,5.000000e-01,2.248036e-01,1.896527e+00,4.900523e-02
1,5.000000e-01,1.617882e+00,1.118205e+00,6.254237e-02
1,5.000000e-01,1.555862e+00,1.121574e+00,1.956996e-01
1,5.000000e-01,8.962898e-01,1.109138e+00,9.185198e-02
1,5.000000e-01,1.610028e+00,3.737914e-01,9.650485e-02
1,5.000000e-01,8.527893e-01,6.834968e-02,9.713473e-02
1,5.000000e-01,1.188741e+00,9.730522e-01,2.779115e-02
1,5.000000e-01,7.091886e-02,9.617057e-01,9.379777e-02
1,5.000000e-01,6.312452e-01,1.325323e+00,4.904353e-02
1,5.000000e-01,1.095378e+00,1.433876e+00,4.899384e-02
1,5.000000e-01,1.143192e+00,1.241260e+00,1.009032e-01
1,5.000000e-01,4.469463e-01,7.808299e-01,4.807010e-02
1,5.000000e-01,7.369823e-01,1.332524e+00,6.659131e-01
1,5.000000e-01,1.508678e+00,1.343423e+00,7.756054e-02
1,5.000000e-01,8.731790e-01,2.711646e-01,8.543502e-02
1,5.000000e-01,1.652830e+00,1.383534e+00,3.429160e-01
1,5.000000e-01,8.105399e-01,1.489461e+00,5.748518e-02
1,5.000000e-01,1.634728e+00,8.567454e-02,6.298746e-01
1,5.000000e-01,1.905455e+00,1.130805e+00,2.653226e-01
1,5.000000e-01,1.397769e-01,3.227028e-01,7.640257e-02
1,5.000000e-01,1.479192e+00,7.665310e-01,3.828448e-01
1,5.000000e-01,1.919237e+00,6.892908e-01,1.058127e-01
1,5.000000e-01,1.417423e+00,1.105456e+00,4.901910e-02
1,5.000000e-01,2.001735e-01,1.749488e+00,5.234888e-02
1,5.000000e-01,7.985039e-01,1.487062e+00,4.229235e-01
1,5.000000e-01,4.246553e-01,4.765726e-01,4.694576e-02
1,5.000000e-01,9.294013e-01,1.512010e-01,4.010983e-02
1,5.000000e-01,4.417444e-01,2.600602e-01,7.261152e-02
1,5.000000e-01,1.199376e+00,1.683875e+00,1.016134e-01
1,5.000000e-01,8.644401e-01,1.659421e+00,4.901900e-02
1,5.000000e-01,2.588701e-01,1.270241e+00,1.390387e-01
1,5.000000e-01,9.024236e-01,8.050352e-01,4.785213e-02
1,5.000000e-01,8.420810e-01,9.360316e-01,4.901899e-02
1,5.000000e-01,1.274208e+00,1.727757e+00,3.952846e-01
1,5.000000e-01,1.039929e+00,2.392130e-01,4.991269e-02
1,5.000000e-01,1.544657e-01,1.123582e+00,4.887712e-02
1,5.000000e-01,1.457513e+00,6.912970e-02,4.901901e-02
1,5.000000e-01,1.515452e+00,4.034822e-01,4.880538e-02
1,5.000000e-01,1.711449e-01,1.538608e+00,4.900248e-02
1,5.000000e-01,1.424920e+00,7.148350e-01,4.438745e-02
1,5.000000e-01,8.525757e-01,1.590659e+00,6.868883e-01
1,5.000000e-01,1.160183e+00,6.468607e-01,8.459763e-02
1,5.000000e-01,1.329589e+00,1.865889e+00,9.645185e-02
1,5.000000e-01,1.061182e+00,8.926639e-01,4.940873e-02
1,5.000000e-01,1.080915e+00,1.028491e+00,4.844534e-02
1,5.000000e-01,1.292055e+00,9.834509e-02,4.901854e-02
1,5.000000e-01,1.437798e+00,1.752855e+00,4.773833e-02
1,5.000000e-01,1.852867e+00,1.864300e+00,4.901900e-02
1,5.000000e-01,1.386695e-01,1.410496e+00,4.902754e-02
1,5.000000e-01,1.877792e+00,8.227564e-01,2.915359e-02
1,5.000000e-01,9.907013e-01,1.533807e+00,5.738219e-02
1,5.000000e-01,1.048212e+00,8.355149e-01,2.589929e-01
